street;street_type;lat;lon;named_after_person;annotation
улица Октябрьская;жилая улица;55.2765668;82.6549771;False;улица Октябрьская — обычный городской топоним.
улица Радужный микрорайон;проезд;54.7666356;83.0792402;False;улица Радужный микрорайон — обычный городской топоним.
Заповедная улица;жилая улица;54.735547;83.1773787;False;Заповедная улица — обычный городской топоним.
улица Купца Горохова;жилая улица;54.7386022;83.0705365;False;улица Купца Горохова — обычный городской топоним.
Ясный переулок;жилая улица;54.7395531;83.0775051;False;Ясный переулок — обычный городской топоним.
Олимпийский переулок;жилая улица;54.7399629;83.0762618;False;Олимпийский переулок — обычный городской топоним.
Утренний переулок;жилая улица;54.7405088;83.0777255;False;Утренний переулок — обычный городской топоним.
улица 9-й квартал;жилая улица;54.739325;83.0782162;False;улица 9-й квартал — обычный городской топоним.
Вербный переулок;жилая улица;54.7378461;83.0732706;False;Вербный переулок — обычный городской топоним.
Пихтовый переулок;жилая улица;54.7367029;83.0786581;False;Пихтовый переулок — обычный городской топоним.
улица 10-й квартал;жилая улица;54.7456498;83.0772194;False;улица 10-й квартал — обычный городской топоним.
Радостный переулок;жилая улица;54.7334963;83.0685097;False;Радостный переулок — обычный городской топоним.
Тропа через кладбище;тропинка;54.9546864;83.1874314;False;Тропа через кладбище — обычный городской топоним.
Татьянин проспект;жилая улица;54.8505509;83.1930591;False;Татьянин проспект — обычный городской топоним.
улица Соколовского;жилая улица;54.9399349;82.5777198;False;улица Соколовского — обычный городской топоним.
1-я Солнечная улица;жилая улица;54.9845675;83.2845547;False;1-я Солнечная улица — обычный городской топоним.
улица Якимовых;проезд;54.9878209;83.2770256;False;улица Якимовых — обычный городской топоним.
2-я Линейная улица;проезд;54.9665897;83.2004583;False;2-я Линейная улица — обычный городской топоним.
34 км;проезд;54.9638971;83.2093452;False;34 км — обычный городской топоним.
улица Нобеля;жилая улица;54.8437287;83.1842211;False;улица Нобеля — обычный городской топоним.
Тупиковая улица;жилая улица;55.1028538;82.5836249;False;Тупиковая улица — обычный городской топоним.
2-я Тупиковая улица;жилая улица;55.1025492;82.5833492;False;2-я Тупиковая улица — обычный городской топоним.
Песчанная улица;жилая улица;55.1002822;82.58743;False;Песчанная улица — обычный городской топоним.
Песчанный переулок;жилая улица;55.0997866;82.5870889;False;Песчанный переулок — обычный городской топоним.
2-й Облепиховый переулок;жилая улица;55.1016524;82.5872705;False;2-й Облепиховый переулок — обычный городской топоним.
улица Красных Полковников;жилая улица;55.1091611;82.5851978;False;улица Красных Полковников — обычный городской топоним.
Крутоярная улица;проезд;54.9866967;83.1842511;False;Крутоярная улица — обычный городской топоним.
5-ая улица;жилая улица;54.9875794;83.1996467;False;5-ая улица — обычный городской топоним.
7-ая улица;жилая улица;54.9886829;83.1984408;False;7-ая улица — обычный городской топоним.
Цветной проспект;ул. районного значения;54.7357768;83.1712012;False;Цветной проспект — обычный городской топоним.
Золотой переулок;жилая улица;54.7320589;83.0682882;False;Золотой переулок — обычный городской топоним.
Ранний переулок;жилая улица;54.7323286;83.0696179;False;Ранний переулок — обычный городской топоним.
улица №21;жилая улица;55.2137428;82.8346582;False;улица №21 — обычный городской топоним.
Въездная улица;жилая улица;55.2244563;82.8436484;False;Въездная улица — обычный городской топоним.
улица №12;проезд;55.2174957;82.8352141;False;улица №12 — обычный городской топоним.
улица №13;проезд;55.2171203;82.8351783;False;улица №13 — обычный городской топоним.
улица №14;проезд;55.2167;82.8352246;False;улица №14 — обычный городской топоним.
улица №15;проезд;55.2162584;82.8352899;False;улица №15 — обычный городской топоним.
улица №16;проезд;55.2158788;82.8349631;False;улица №16 — обычный городской топоним.
улица №17;проезд;55.2154766;82.8349024;False;улица №17 — обычный городской топоним.
улица №19;проезд;55.2146056;82.8350849;False;улица №19 — обычный городской топоним.
улица №20;проезд;55.2140775;82.8348419;False;улица №20 — обычный городской топоним.
улица №18;проезд;55.2150133;82.8351424;False;улица №18 — обычный городской топоним.
улица №10;проезд;55.2182498;82.8355837;False;улица №10 — обычный городской топоним.
улица №9;проезд;55.218661;82.8356538;False;улица №9 — обычный городской топоним.
улица №8;проезд;55.2190799;82.8356755;False;улица №8 — обычный городской топоним.
улица №7;проезд;55.2194947;82.8358528;False;улица №7 — обычный городской топоним.
улица №6;проезд;55.21986;82.8360045;False;улица №6 — обычный городской топоним.
улица №4;проезд;55.2206331;82.8363619;False;улица №4 — обычный городской топоним.
Ветеран;жилая улица;55.2197121;82.8440818;False;Ветеран — обычный городской топоним.
Жигулёвская улица;проезд;55.2018937;82.8110965;False;Жигулёвская улица — обычный городской топоним.
улица 20;проезд;54.7151903;83.089266;False;улица 20 — обычный городской топоним.
улица 19;проезд;54.7155315;83.088493;False;улица 19 — обычный городской топоним.
Просёлок/лыжня;грунтовая дорога;54.8251432;83.2302057;False;Просёлок/лыжня — обычный городской топоним.
Возможно, этой дороги уже нет;грунтовая дорога;54.8387485;83.2004324;False;Возможно, этой дороги уже нет — обычный городской топоним.
улица Панфилова;проезд;54.7543861;83.1129396;False;улица Панфилова — обычный городской топоним.
Танковый трек;грунтовая дорога;54.8968919;83.2088883;False;Танковый трек — обычный городской топоним.
Снегирей;проезд;54.83479;83.2458447;False;Снегирей — обычный городской топоним.
улица Бердского спецназа;жилая улица;54.7467053;83.0803001;False;улица Бердского спецназа — обычный городской топоним.
2-я Ельцовская улица;жилая улица;54.7507729;83.0817974;False;2-я Ельцовская улица — обычный городской топоним.
улица 8-й квартал;жилая улица;54.7445927;83.078592;False;улица 8-й квартал — обычный городской топоним.
улица поэта Сорокина;жилая улица;54.7402939;83.0731263;False;улица поэта Сорокина — обычный городской топоним.
Привольный переулок;жилая улица;54.7383049;83.0815691;False;Привольный переулок — обычный городской топоним.
улица 12-й квартал;жилая улица;54.7347534;83.0846805;False;улица 12-й квартал — обычный городской топоним.
Успешный переулок;жилая улица;54.7351825;83.0834591;False;Успешный переулок — обычный городской топоним.
Туманный переулок;жилая улица;54.7355374;83.0822667;False;Туманный переулок — обычный городской топоним.
Хвойный переулок;жилая улица;54.7362449;83.0800885;False;Хвойный переулок — обычный городской топоним.
Уютный переулок;жилая улица;54.737498;83.0720154;False;Уютный переулок — обычный городской топоним.
Салаирская улица;жилая улица;54.7353085;83.0674444;False;Салаирская улица — обычный городской топоним.
улица 11-й квартал;жилая улица;54.7432347;83.0691184;False;улица 11-й квартал — обычный городской топоним.
Благодарная улица;жилая улица;54.7160789;83.0741501;False;Благодарная улица — обычный городской топоним.
проспект Бисмарка;жилая улица;54.9400038;82.5849725;False;проспект Бисмарка — обычный городской топоним.
улица Возрождения;жилая улица;55.2808633;82.6747993;False;улица Возрождения — обычный городской топоним.
улица Коммунаров;жилая улица;55.2815577;82.6736064;False;улица Коммунаров — обычный городской топоним.
Весенняя;жилая улица;54.9898629;83.1970458;False;Весенняя — обычный городской топоним.
9-ая улица;жилая улица;54.9897377;83.1984384;False;9-ая улица — обычный городской топоним.
8-ая улица;жилая улица;54.9892857;83.1987671;False;8-ая улица — обычный городской топоним.
6-ая улица;жилая улица;54.9883019;83.199208;False;6-ая улица — обычный городской топоним.
4-ая улица;жилая улица;54.987691;83.2007623;False;4-ая улица — обычный городской топоним.
улица Дачный спуск;жилая улица;55.1039222;82.580542;False;улица Дачный спуск — обычный городской топоним.
Мост влюблённых;пешеходная дорожка;54.9464278;83.1992323;False;Мост влюблённых — обычный городской топоним.
проспект Академика Сандахчиева;ул. общегородского значения;54.9422118;83.1923903;False;проспект Академика Сандахчиева — обычный городской топоним.
Дороги не видно, заросла;грунтовая дорога;54.8157481;83.1832356;False;Дороги не видно, заросла — обычный городской топоним.
Проезд № 3  ЦКП 'СКИФ';ул. общегородского значения;54.9520644;83.2311259;False;Проезд № 3  ЦКП 'СКИФ' — обычный городской топоним.
Озёрный Переулок;проезд;55.2765745;82.8872808;False;Озёрный Переулок — обычный городской топоним.
