street;street_type;lat;lon
Жилой комплекс «На Снежиной»;улица;55.0203568;83.021539
Жилой комплекс 'Гурьевский';улица;55.0254367;82.966375
Жилой комплекс «Дом на Федосеева»;улица;55.0354629;82.9648373
ЖК Каменский;улица;55.0356375;82.9579381
КСМ ТЦ;улица;54.9411384;83.1187745
Снегоплавильная станция;улица;55.0390583;82.9646336
ЖК История;улица;55.0417128;82.9676724
ЖК Золотая Нива;улица;55.0411754;82.9706604
Жилой комплекс «ГринАрт»;улица;55.0497741;82.953209
Жилой комплекс «Островский»;улица;55.0504883;82.9305383
Жилой комплекс «Калининский-3»;улица;55.0614613;82.9390228
Жилой комплекс «Калининский-2»;улица;55.0613487;82.9382535
Жилой комплекс «Дом на Шамшиных»;улица;55.0419883;82.9290583
Дом на Шамшиных;улица;55.041957;82.9290383
Жилой комплекс «Расцветай на Ядринцевской»;улица;55.0342589;82.9309838
Расцветай на Яндрицевской;улица;55.0343521;82.9310234
Жилой комплекс «На Трудовой»;улица;55.0336784;82.9351266
Жилой комплекс «Ядринцевский квартал»;улица;55.03327;82.9303026
Жилой комплекс «Дом на Чаплыгина»;улица;55.027291;82.9320517
Адмирал Ушаков;улица;55.0210611;82.9329264
ЖК На Покатной;улица;55.0265614;82.9474032
Каменка;деревня;55.1083874;83.0615877
микрорайон Гармония;улица;55.0959218;83.0847288
ЖК Столичный;улица;55.0081677;82.9666428
Жилой дом «Революция»;улица;55.0045099;82.9768622
Жилой комплекс 'Квартал На Никитина';улица;55.0068269;82.95569
Урбан-виллы «На Никитина»;улица;55.006851;82.9556477
Жилой комплекс «Михайловский»;улица;55.0040313;82.9417157
Сити-квартал «Инские Холмы»;улица;55.0109457;82.9321347
Жилой комплекс «Покровский»;улица;55.0534421;82.9008181
Жилой комплекс «Заельцовский»;улица;55.054475;82.9021082
Жилой комплекс «Тимирязевский»;улица;55.0553154;82.894515
Бирюзовая жемчужина-2;улица;55.0468495;82.8595473
Жилой комплекс «Бирюзовая жемчужина»;улица;55.0468459;82.857724
SMART;улица;55.1060839;82.9482041
Квартал «Дунаевский»;улица;55.102156;82.9760522
Юбилейный;пригород;55.0982259;82.9674377
МКРН Стрижи;улица;55.1278874;82.8931475
Novosibirsk Dam;улица;54.8498044;82.9874118
Дивногорский;улица;55.0252646;82.8081108
Чистая слобода;пригород;54.9811287;82.7953985
МНТК Микрохирургия глаза им. С.Н.Фёдорова;улица;54.9823711;82.8160276
Тихвинский квартал;улица;54.9800401;82.8692891
Жилой комплекс «Дом на Немировича»;улица;54.9900185;82.9153953
СибУПК;улица;54.9899507;82.9095823
Опти;улица;54.9568602;82.8391235
Жилой комплекс «На Коротаева»;улица;54.9615536;82.9547835
квартал Форда;улица;54.9741874;82.7566495
квартал Сегаловича;улица;54.9717948;82.7521987
Элитный;деревня;54.9173153;82.9353032
Светлый;пригород;55.196096;83.1450252
Мичуринский;деревня;54.8817727;83.0073856
Раздольное;деревня;55.0659197;83.1295315
БЦ Время;улица;55.0176749;82.9401981
СНТ «Солнечная долина»;улица;54.9655919;83.1783799
СНТ «Лесовод»;улица;54.9617065;83.1651325
Тихомиров;улица;55.0247603;82.9488223
ЖК Ричмонд;улица;55.0172953;82.9411845
Поликлиника №1;улица;55.0290267;82.925422
СНТ «Буревестник»;улица;54.858802;82.9333961
микрорайон Околица;улица;55.1184217;82.9480889
Жилой комплекс «Одоевский»;улица;54.9325129;83.1056
Северо-Чемской;пригород;54.9626493;82.9512572
Жилой комплекс «Кварталы Немировича»;улица;54.9792649;82.9112411
Базилик;улица;54.9187613;82.9974543
Изумрудный город;улица;55.0456481;82.985668
Первый на Есенина;улица;55.0469128;82.9846857
Цветной бульвар;улица;54.944074;82.9020144
Салют;улица;54.9821237;82.8613257
Апартвиль на Кошурникова;улица;55.0398881;82.9668921
Воздушная гавань;улица;54.991499;82.6804195
улица Лелюха;жилая улица;54.7649692;83.1021655
Путеводная улица;жилая улица;54.8324375;83.2725018
улица Рогачёва;ул. районного значения;54.7540374;83.0599151
улица Островского;ул. районного значения;54.7601955;83.0903704
Королевская улица;жилая улица;54.9328117;82.5906768
Континентовская улица;жилая улица;54.9388113;82.5784382
